University,ID Year,Year,ID Detailed Occupation,Detailed Occupation,ID Workforce Status,Workforce Status,Total Population,Average Wage,Average Wage Appx MOE,Total Population MOE Appx,Record Count,CIP2,ID CIP2
Brown University,2014,2014,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,5048,161204.0172,53461.27938,1744.320914,243,History,54
Brown University,2020,2020,172061,Computer hardware engineers,TRUE,TRUE,195,111664.3385,73167.26922,342.8402307,14,English,23
Brown University,2020,2020,193033,Clinical and counseling psychologists,TRUE,TRUE,661,74134.78669,40303.38167,631.2109439,35,English,23
Brown University,2020,2020,291210,Physicians,TRUE,TRUE,13037,243085.7964,38192.02102,2803.138085,688,English,23
Brown University,2020,2020,291240,Surgeons,TRUE,TRUE,787,445973.1614,210286.4558,688.7489851,30,English,23
Brown University,2020,2020,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,3107,174931.0908,78279.59002,1368.487496,160,English,23
Brown University,2019,2019,172061,Computer hardware engineers,TRUE,TRUE,194,123833.1753,95963.75576,341.9600233,14,English,23
Brown University,2019,2019,193033,Clinical and counseling psychologists,TRUE,TRUE,644,70846.77019,43536.13491,623.041168,36,English,23
Brown University,2019,2019,291210,Physicians,TRUE,TRUE,12828,238821.9259,38179.12994,2780.579676,699,English,23
Brown University,2019,2019,291240,Surgeons,TRUE,TRUE,541,361590.0536,247096.1927,571.0479734,31,English,23
Brown University,2019,2019,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,3279,162502.423,73067.74091,1405.855352,173,English,23
Brown University,2018,2018,172061,Computer hardware engineers,TRUE,TRUE,228,118555.9386,84818.83645,370.7164362,16,English,23
Brown University,2018,2018,193033,Clinical and counseling psychologists,TRUE,TRUE,544,53779.37868,45653.30474,572.6290755,35,English,23
Brown University,2018,2018,291210,Physicians,TRUE,TRUE,12932,237926.9453,37582.45415,2791.825598,700,English,23
Brown University,2018,2018,291240,Surgeons,TRUE,TRUE,520,346940.6865,247374.8464,559.8551191,30,English,23
Brown University,2018,2018,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,3592,144885.2063,62303.44851,1471.423053,185,English,23
Brown University,2017,2017,172061,Computer hardware engineers,TRUE,TRUE,311,112294.9646,60450.45222,432.9666864,18,English,23
